x,y,z,,,
328,90,656,,,
327,89,654,,,
327,88,655,,,
326,86,654,,,
325,85,655,,,
324,84,655,,,
323,83,656,,,
322,82,656,,,
321,82,657,,,
321,81,658,,,
321,80,657,,,
320,79,656,,,
320,77,656,,,
319,77,655,,,
319,77,657,,,
319,76,657,,,
318,75,654,,,
318,75,655,,,
318,75,655,,,
318,75,655,,,
318,74,654,,,
318,75,654,,,
318,75,655,,,
318,75,655,,,
318,75,655,,,
318,75,654,,,
318,76,655,,,
319,75,654,,,
319,76,655,,,
318,75,654,,,
318,76,655,,,
318,76,656,,,
318,76,655,,,
